rb_id,pb_id
1,15
2,6
3,18
4,6
5,11
6,8
7,21
8,13
9,9
11,15
13,23
14,2
15,18
16,4
17,21
18,9
19,19
20,19
21,3
22,5
23,3
24,25
25,4
26,5
27,25
28,11
29,14
30,13
31,14
32,2
33,20
34,20
35,23
36,8
39,22
40,22
41,7
42,7
44,12
46,12
