paddle,slope,y_intercept,T_avg,measured_mip,normalization_coeff
18,0.020016334047035036,2.117817901063223,-1.649430255228676,2.0775040083306324,0.9241859425064628
20,-0.01874594257859684,1.4588537068461884,-3.6896537909883187,1.5252199377868432,1.2588348423939428
21,-0.012771821977096228,1.1155148830761121,-5.937859235293657,1.1555146270176713,1.6615973135324382
22,-0.018268039947247402,1.301501869464708,-5.558749920718308,1.389903206833999,1.3813911577148497
23,-0.017003690720426675,1.334135902161001,-6.946741881183655,1.4434418976720182,1.3301539903314252
25,-0.005961983271774206,1.2728882449634862,-5.726389674984663,1.2770373370583972,1.503479925201436
26,-0.01956263354190653,1.4802954808638937,-4.6764799718008945,1.565166173299826,1.2267068077200267
33,-0.009965038768346608,1.1519033708731359,-13.003024187214095,1.2224004316414079,1.5706800736497395
34,0.01196309851311614,1.7073677340410045,-11.424362527019555,1.5483448305732535,1.2400338491065626
35,-0.013408514530943737,1.366698859414514,-10.901657485712626,1.4285637706003511,1.3440072046578109
36,-0.017307008766689683,1.234965420696559,-10.977022603153433,1.3583085275573032,1.4135227461560647
37,-0.03598362294123872,1.023444384168993,-10.103823154069584,1.2301232836730875,1.5608191678698857
38,-0.00972886614299374,1.3892154296227817,-9.68804091881802,1.4179181706318995,1.3540978878522631
39,-0.012520270617662031,1.2679612190980556,-9.316951771076823,1.2747484503252615,1.506179512914958
40,-5.378399478153538e-05,1.2545411180458261,-9.237644297381618,1.1606986106600585,1.6541761852442873
41,-0.030128535846459883,0.6866268284754357,-19.726691812210714,1.265270747297655,1.5174617797026488
42,0.0026977474096173816,1.319472925485673,-18.181406468811,1.211612474337826,1.5846650976825936
43,-0.021302838738395585,1.019809241842356,-17.721777211450068,1.4017404675693586,1.3697257405497554
45,-0.004025336292140314,1.075987517481764,-17.342646122440186,1.1273823240846401,1.7030602298638244
46,-0.018687891315345293,1.112783009276625,-15.724265687535343,1.3541257687058423,1.417888976320842
47,-0.008976730940688711,1.279761355205277,-15.536162544547278,1.3975992863632476,1.3737843305545134
57,-0.03660270364589894,1.7292328985152399,-5.728173636242692,1.7997488448011847,1.066815520146701
58,-0.018909613446670474,1.4747517553960672,-19.48641760683399,1.8031199330183587,1.0648210165288274
59,-0.017799795835850056,1.5902701579197491,-19.222859846063898,1.895671628601146,1.0128336421940367
60,-0.07091457027272297,2.20457993104595,-6.551739987242288,2.5185056589823347,0.7623568337646
61,-0.012156862982189777,1.1712171377827805,4.646178691796187,1.1054244134905513,1.7368894485849993
62,-0.012492191934483324,0.9827960228083954,3.5355516840325185,0.9318243011453309,2.060474273572899
63,-0.008561504433634726,1.082210385716057,2.8499634744646594,1.0422752688999444,1.842123724211972
64,-0.007288628113427803,1.0496843825695963,2.222723644605445,1.0307414557527368,1.8627367603041147
65,-0.010862909844105591,1.1446429264388616,1.361749841298964,1.1187873380982238,1.7161438412984915
66,-0.009971727116391223,1.0919229074175891,1.4046014470595152,1.0603197866824536,1.8107744702259383
67,-0.016420109988002383,1.2735511712130563,0.7462111826123053,1.2488979599051624,1.537355381816621
68,-0.02991215772899945,0.848085418144241,-16.923724561792284,1.3455469562251403,1.4269290202896052
69,-0.012601038729451947,1.0832964459346834,0.6789492176775966,1.061303171958417,1.8090966377279682
70,-0.010327617752125599,1.0496032135230005,0.9241671711011158,1.0349639541266895,1.8551370724984433
71,-0.013825077419057861,1.155212671035789,-0.0826209400230511,1.1428156360763408,1.6800610171838275
72,-0.014771052480391513,1.227037335319142,-0.12155405174255,1.229421017586613,1.561710734186904
73,-0.01704832076163806,1.3631944799789062,5.230711616512872,1.2657635727012615,1.516870955531241
76,-0.015249112337205828,1.4499108089699184,11.152012323739957,1.2692496726406461,1.512704743114475
78,-0.015054009523201127,1.3683851054512717,14.241686545535408,1.1470454403192516,1.67386568353004
